design,count,point_id,observed_probability,residual_shape,concentration,reset_observed_probability,hazard,innovation_l2,surprise,gain,update_l2,information_gain,change_probability
uniform_factorial,1,211,0.9,0.5,128.0,0.05,0.15,0.12247448713915887,0.10536051565782628,0.007751937984496124,0.000949414628985708,0.00043283472005928303,0.00970873786407767
uniform_factorial,1,217,0.9,0.9,2.0,0.05,0.15,0.1349073756323204,0.10536051565782628,0.3333333333333333,0.04496912521077338,0.023123169408776692,0.00970873786407767
uniform_factorial,1,219,0.9,0.9,2.0,0.5,0.15,0.1349073756323204,0.10536051565782628,0.3333333333333333,0.04496912521077338,0.023123169408776692,0.08928571428571429
uniform_factorial,1,227,0.9,0.9,8.0,0.95,0.15,0.1349073756323204,0.10536051565782628,0.1111111111111111,0.014989708403591043,0.006640070861284458,0.15702479338842976
uniform_factorial,1,230,0.9,0.9,32.0,0.5,0.01,0.1349073756323204,0.10536051565782628,0.030303030303030304,0.004088102291888515,0.0017170260888290656,0.005580357142857143
uniform_factorial,1,231,0.9,0.9,32.0,0.5,0.15,0.1349073756323204,0.10536051565782628,0.030303030303030304,0.004088102291888515,0.0017170260888290656,0.08928571428571429
uniform_factorial,1,233,0.9,0.9,32.0,0.95,0.15,0.1349073756323204,0.10536051565782628,0.030303030303030304,0.004088102291888515,0.0017170260888290656,0.15702479338842976
uniform_factorial,1,234,0.9,0.9,128.0,0.05,0.01,0.1349073756323204,0.10536051565782628,0.007751937984496124,0.0010457936095528526,0.00043283472005928303,0.0005608524957936063
uniform_factorial,1,237,0.9,0.9,128.0,0.5,0.15,0.1349073756323204,0.10536051565782628,0.007751937984496124,0.0010457936095528526,0.00043283472005928303,0.08928571428571429
maximin_optimized,3,0,0.05,0.5,2.0,0.05,0.01,1.1635076278220096,2.995732273553991,0.3333333333333333,0.3878358759406699,1.6491929980444475,0.01
maximin_optimized,2,5,0.05,0.5,2.0,0.95,0.15,1.1635076278220096,2.995732273553991,0.3333333333333333,0.3878358759406699,1.6491929980444475,0.7702702702702702
maximin_optimized,1,11,0.05,0.5,8.0,0.95,0.15,1.1635076278220096,2.995732273553991,0.1111111111111111,0.1292786253135566,0.793706251013266,0.7702702702702702
maximin_optimized,3,18,0.05,0.5,128.0,0.05,0.01,1.1635076278220096,2.995732273553991,0.007751937984496124,0.009019438975364405,0.07219424175040157,0.01
maximin_optimized,3,23,0.05,0.5,128.0,0.95,0.15,1.1635076278220096,2.995732273553991,0.007751937984496124,0.009019438975364405,0.07219424175040157,0.7702702702702702
maximin_optimized,8,120,0.35,0.9,2.0,0.05,0.01,0.8768979416100827,1.0498221244986778,0.3333333333333333,0.29229931387002756,0.3355856642737046,0.0014409221902017292
maximin_optimized,8,125,0.35,0.9,2.0,0.95,0.15,0.8768979416100827,1.0498221244986778,0.3333333333333333,0.29229931387002756,0.3355856642737046,0.32386363636363635
maximin_optimized,1,131,0.35,0.9,8.0,0.95,0.15,0.8768979416100827,1.0498221244986778,0.1111111111111111,0.09743310462334258,0.10687049253534275,0.32386363636363635
maximin_optimized,8,138,0.35,0.9,128.0,0.05,0.01,0.8768979416100827,1.0498221244986778,0.007751937984496124,0.0067976584620936574,0.007218032071614644,0.0014409221902017292
maximin_optimized,7,143,0.35,0.9,128.0,0.95,0.15,0.8768979416100827,1.0498221244986778,0.007751937984496124,0.0067976584620936574,0.007218032071614644,0.32386363636363635
maximin_optimized,3,192,0.9,0.5,2.0,0.05,0.01,0.12247448713915887,0.10536051565782628,0.3333333333333333,0.0408248290463862,0.023123169408776692,0.0005608524957936063
maximin_optimized,4,197,0.9,0.5,2.0,0.95,0.15,0.12247448713915887,0.10536051565782628,0.3333333333333333,0.0408248290463862,0.023123169408776692,0.15702479338842976
maximin_optimized,4,210,0.9,0.5,128.0,0.05,0.01,0.12247448713915887,0.10536051565782628,0.007751937984496124,0.000949414628985708,0.00043283472005928303,0.0005608524957936063
maximin_optimized,4,215,0.9,0.5,128.0,0.95,0.15,0.12247448713915887,0.10536051565782628,0.007751937984496124,0.000949414628985708,0.00043283472005928303,0.15702479338842976
maximin_optimized,1,219,0.9,0.9,2.0,0.5,0.15,0.1349073756323204,0.10536051565782628,0.3333333333333333,0.04496912521077338,0.023123169408776692,0.08928571428571429
